RS_Rank,Title,Album,Artist,Year 
252,Just My Imagination,Anthology (Motown),The Temptations,1971
253,Roxanne,Outlandos d'Amour (Interscope),The Police,1979
254,Tiny Dancer,Madman Across the Water (Island),Elton John,1971
255,Know You Got Soul,Paid in Full (Island),Eric B. and Rakim,19874
256,Stills,Decade (Reprise),Crosby,1970
257,Ticket to Ride,Help! (Capitol/Apple),The Beatles,1965
258,Whipping Post,At Fillmore East (Mercury),The Allman Brothers Band,1969
259,Bitter Sweet Symphony,Urban Hymns (Virgin),The Verve,1997
260,Tell It Like It Is,Tell It Like It Is: Golden Classics (Collectables),Aaron Neville,1966
261,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road (Island),Elton John,1973
262,Radio Free Europe,Murmur (A&M),R.E.M.,1983
263,Pride (In the Name of Love),The Unforgettable Fire (Island),U2,1984
264,Hit the Road Jack,Ultimate Hits Collection (Rhino),Ray Charles,1961
265,Maps,Fever to Tell (Interscope),Yeah Yeah Yeahs,2004
266,Fake Plastic Trees,The Bends (Capitol),Radiohead,1995
267,Another Brick in the Wall Part 2,The Wall (Capitol),Pink Floyd,1979
268,Brown Eyed Handsome Man,The Anthology (Chess),Chuck Berry,1956
269,Wonderful World,Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,1960
270,Marquee Moon,Marquee Moon (Elektra),Television,1977
271,I Cant Explain,The Ultimate Collection (MCA),The Who,1965
272,The Wind Cries Mary,Are You Experienced? (MCA),The Jimi Hendrix Experience,1967
273,Im a Man,His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,1955
274,Personal Jesus,Violator (Sire),Depeche Mode,1989
275,White Room,Wheels of Fire (Polygram),Cream,1968
276,How Deep Is Your Love,Saturday Night Fever (Polygram),Bee Gees,1977
277,Unchained Melody,Anthology 1962-1974 (Rhino),The Righteous Brothers,1965
278,Highway 61 Revisited,Highway 61 Revisited (Columbia),Bob Dylan,1965
279,The Letter,The Letter (Sundazed),The Box Tops,1967
280,Complete Control,The Clash (Epic),The Clash,1979
281,All You Need is Love,Magical Mystery Tour (Capitol),The Beatles,1967
282,Killing Me Softly With His Song,Killing Me Softly (Atlantic),Roberta Flack,1973
283,Got My Mojo Working,The Anthology (Chess/MCA),Muddy Waters,1957
284,Nowhere to Run,The Ultimate Collection (Motown),Martha and the Vandellas,1965
285,Little Wing,Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,1968
286,Sweet Dreams (Are Made of This),Sweet Dreams (RCA),Eurythmics,1983
287,Bad Moon Rising,Green River (Fantasy),Creedence Clearwater Revival,1969
288,Watching the Detectives,My Aim Is True (Rhino),Elvis Costello,1977
289,Tears in Heaven,"""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,1992
290,All Shook Up,Elvis 30 #1 Hits (RCA),Elvis Presley,1957
291,The Great Pretender,The Magic Touch: An Anthology (Mercury),The Platters,1955
292,The Loco-Motion,The Loco-Motion (Rhino),Little Eva,1962
293,Spanish Harlem,The Very Best of Ben E. King (Rhino),Ben E. King,1960
294,That Lady (Part 1 and 2),The Essential Isley Brothers (Legacy),The Isley Brothers,1973
295,Candle in the Wind,Goodbye Yellow Brick Road (Island),Elton John,1973
296,California Love,Greatest Hits (Death Row),Dr. Dre and 2Pac,1996
297,La Bamba,The Ritchie Valens Story (Rhino),Ritchie Valens,1958
298,Piece of My Heart,Cheap Thrills (Columbia),Big Brother and the Holding Company,1968
299,Jim Dandy,Soul on Fire: The Best of LaVern Baker (Atlantic),Lavern Baker,1956
300,Runaround Sue,Runaround Sue (Capitol),Dion,1961
301,Baby I Need Your Loving,The Ultimate Collection (Motown),The Four Tops,1964
302,Just My Imagination,Anthology (Motown),The Temptations,1971
303,Roxanne,Outlandos d'Amour (Interscope),The Police,1979
304,Tiny Dancer,Madman Across the Water (Island),Elton John,1971
305,Know You Got Soul,Paid in Full (Island),Eric B. and Rakim,1974
306,Stills,Decade (Reprise),Crosby,1970
307,Ticket to Ride,Help! (Capitol/Apple),The Beatles,1965
308,Whipping Post,At Fillmore East (Mercury),The Allman Brothers Band,1969
309,Bitter Sweet Symphony,Urban Hymns (Virgin),The Verve,1997
310,Tell It Like It Is,Tell It Like It Is: Golden Classics (Collectables),Aaron Neville,1966
311,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road (Island),Elton John,1973
312,Radio Free Europe,Murmur (A&M),R.E.M.,1983
313,Pride (In the Name of Love),The Unforgettable Fire (Island),U2,1984
314,Hit the Road Jack,Ultimate Hits Collection (Rhino),Ray Charles,1961
315,Maps,Fever to Tell (Interscope),Yeah Yeah Yeahs,2004
316,Fake Plastic Trees,The Bends (Capitol),Radiohead,1995
317,Another Brick in the Wall Part 2,The Wall (Capitol),Pink Floyd,1979
318,Brown Eyed Handsome Man,The Anthology (Chess),Chuck Berry,1956
319,Wonderful World,Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,1960
320,Marquee Moon,Marquee Moon (Elektra),Television,1977
321,I Cant Explain,The Ultimate Collection (MCA),The Who,1965
322,The Wind Cries Mary,Are You Experienced? (MCA),The Jimi Hendrix Experience,1967
323,Im a Man,His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,1955
324,Personal Jesus,Violator (Sire),Depeche Mode,1989
325,White Room,Wheels of Fire (Polygram),Cream,1968
326,How Deep Is Your Love,Saturday Night Fever (Polygram),Bee Gees,1977
327,Unchained Melody,Anthology 1962-1974 (Rhino),The Righteous Brothers,1965
328,Highway 61 Revisited,Highway 61 Revisited (Columbia),Bob Dylan,1965
329,The Letter,The Letter (Sundazed),The Box Tops,1967
330,Complete Control,The Clash (Epic),The Clash,1979
331,All You Need is Love,Magical Mystery Tour (Capitol),The Beatles,1967
332,Killing Me Softly With His Song,Killing Me Softly (Atlantic),Roberta Flack,1973
333,Got My Mojo Working,The Anthology (Chess/MCA),Muddy Waters,1957
334,Nowhere to Run,The Ultimate Collection (Motown),Martha and the Vandellas,1965
335,Little Wing,Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,1968
336,Sweet Dreams (Are Made of This),Sweet Dreams (RCA),Eurythmics,1983
337,Bad Moon Rising,Green River (Fantasy),Creedence Clearwater Revival,1969
338,Watching the Detectives,My Aim Is True (Rhino),Elvis Costello,1977
339,Tears in Heaven,"""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,1992
340,All Shook Up,Elvis 30 #1 Hits (RCA),Elvis Presley,1957
341,The Great Pretender,The Magic Touch: An Anthology (Mercury),The Platters,1955
342,The Loco-Motion,The Loco-Motion (Rhino),Little Eva,1962
343,Spanish Harlem,The Very Best of Ben E. King (Rhino),Ben E. King,1960
344,That Lady (Part 1 and 2),The Essential Isley Brothers (Legacy),The Isley Brothers,1973
345,Candle in the Wind,Goodbye Yellow Brick Road (Island),Elton John,1973
346,California Love,Greatest Hits (Death Row),Dr. Dre and 2Pac,1996
347,La Bamba,The Ritchie Valens Story (Rhino),Ritchie Valens,1958
348,Piece of My Heart,Cheap Thrills (Columbia),Big Brother and the Holding Company,1968
349,Jim Dandy,Soul on Fire: The Best of LaVern Baker (Atlantic),Lavern Baker,1956
350,Runaround Sue,Runaround Sue (Capitol),Dion,1961
351,Baby I Need Your Loving,The Ultimate Collection (Motown),The Four Tops,1964
352,Just My Imagination,Anthology (Motown),The Temptations,1971
353,Roxanne,Outlandos d'Amour (Interscope),The Police,1979
354,Tiny Dancer,Madman Across the Water (Island),Elton John,1971
355,Know You Got Soul,Paid in Full (Island),Eric B. and Rakim,1974
356,Stills,Decade (Reprise),Crosby,1970
357,Ticket to Ride,Help! (Capitol/Apple),The Beatles,1965
358,Whipping Post,At Fillmore East (Mercury),The Allman Brothers Band,1969
359,Bitter Sweet Symphony,Urban Hymns (Virgin),The Verve,1997
360,Tell It Like It Is,Tell It Like It Is: Golden Classics (Collectables),Aaron Neville,1966
361,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road (Island),Elton John,1973
362,Radio Free Europe,Murmur (A&M),R.E.M.,1983
363,Pride (In the Name of Love),The Unforgettable Fire (Island),U2,1984
364,Hit the Road Jack,Ultimate Hits Collection (Rhino),Ray Charles,1961
365,Maps,Fever to Tell (Interscope),Yeah Yeah Yeahs,2004
366,Fake Plastic Trees,The Bends (Capitol),Radiohead,1995
367,Another Brick in the Wall Part 2,The Wall (Capitol),Pink Floyd,1979
368,Brown Eyed Handsome Man,The Anthology (Chess),Chuck Berry,1956
369,Wonderful World,Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,1960
370,Marquee Moon,Marquee Moon (Elektra),Television,1977
371,I Cant Explain,The Ultimate Collection (MCA),The Who,1965
372,The Wind Cries Mary,Are You Experienced? (MCA),The Jimi Hendrix Experience,1967
373,Im a Man,His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,1955
374,Personal Jesus,Violator (Sire),Depeche Mode,1989
375,White Room,Wheels of Fire (Polygram),Cream,1968
376,How Deep Is Your Love,Saturday Night Fever (Polygram),Bee Gees,1977
377,Unchained Melody,Anthology 1962-1974 (Rhino),The Righteous Brothers,1965
378,Highway 61 Revisited,Highway 61 Revisited (Columbia),Bob Dylan,1965
379,The Letter,The Letter (Sundazed),The Box Tops,1967
380,Complete Control,The Clash (Epic),The Clash,1979
381,All You Need is Love,Magical Mystery Tour (Capitol),The Beatles,1967
382,Killing Me Softly With His Song,Killing Me Softly (Atlantic),Roberta Flack,1973
383,Got My Mojo Working,The Anthology (Chess/MCA),Muddy Waters,1957
384,Nowhere to Run,The Ultimate Collection (Motown),Martha and the Vandellas,1965
385,Little Wing,Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,1968
386,Sweet Dreams (Are Made of This),Sweet Dreams (RCA),Eurythmics,1983
387,Bad Moon Rising,Green River (Fantasy),Creedence Clearwater Revival,1969
388,Watching the Detectives,My Aim Is True (Rhino),Elvis Costello,1977
389,Tears in Heaven,"""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,1992
390,All Shook Up,Elvis 30 #1 Hits (RCA),Elvis Presley,1957
391,The Great Pretender,The Magic Touch: An Anthology (Mercury),The Platters,1955
392,The Loco-Motion,The Loco-Motion (Rhino),Little Eva,1962
393,Spanish Harlem,The Very Best of Ben E. King (Rhino),Ben E. King,1960
394,That Lady (Part 1 and 2),The Essential Isley Brothers (Legacy),The Isley Brothers,1973
395,Candle in the Wind,Goodbye Yellow Brick Road (Island),Elton John,1973
396,California Love,Greatest Hits (Death Row),Dr. Dre and 2Pac,1996
397,La Bamba,The Ritchie Valens Story (Rhino),Ritchie Valens,1958
398,Piece of My Heart,Cheap Thrills (Columbia),Big Brother and the Holding Company,1968
399,Jim Dandy,Soul on Fire: The Best of LaVern Baker (Atlantic),Lavern Baker,1956
400,Runaround Sue,Runaround Sue (Capitol),Dion,1961
401,Baby I Need Your Loving,The Ultimate Collection (Motown),The Four Tops,1964
402,Just My Imagination,Anthology (Motown),The Temptations,1971
403,Roxanne,Outlandos d'Amour (Interscope),The Police,1979
404,Tiny Dancer,Madman Across the Water (Island),Elton John,1971
405,Know You Got Soul,Paid in Full (Island),Eric B. and Rakim,19874
406,Stills,Decade (Reprise),Crosby,1970
407,Ticket to Ride,Help! (Capitol/Apple),The Beatles,1965
408,Whipping Post,At Fillmore East (Mercury),The Allman Brothers Band,1969
409,Bitter Sweet Symphony,Urban Hymns (Virgin),The Verve,1997
410,Tell It Like It Is,Tell It Like It Is: Golden Classics (Collectables),Aaron Neville,1966
411,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road (Island),Elton John,1973
412,Radio Free Europe,Murmur (A&M),R.E.M.,1983
413,Pride (In the Name of Love),The Unforgettable Fire (Island),U2,1984
414,Hit the Road Jack,Ultimate Hits Collection (Rhino),Ray Charles,1961
415,Maps,Fever to Tell (Interscope),Yeah Yeah Yeahs,2004
416,Fake Plastic Trees,The Bends (Capitol),Radiohead,1995
417,Another Brick in the Wall Part 2,The Wall (Capitol),Pink Floyd,1979
418,Brown Eyed Handsome Man,The Anthology (Chess),Chuck Berry,1956
419,Wonderful World,Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,1960
420,Marquee Moon,Marquee Moon (Elektra),Television,1977
421,I Cant Explain,The Ultimate Collection (MCA),The Who,1965
422,The Wind Cries Mary,Are You Experienced? (MCA),The Jimi Hendrix Experience,1967
423,Im a Man,His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,1955
424,Personal Jesus,Violator (Sire),Depeche Mode,1989
425,White Room,Wheels of Fire (Polygram),Cream,1968
426,How Deep Is Your Love,Saturday Night Fever (Polygram),Bee Gees,1977
427,Unchained Melody,Anthology 1962-1974 (Rhino),The Righteous Brothers,1965
428,Highway 61 Revisited,Highway 61 Revisited (Columbia),Bob Dylan,1965
429,The Letter,The Letter (Sundazed),The Box Tops,1967
430,Complete Control,The Clash (Epic),The Clash,1979
431,All You Need is Love,Magical Mystery Tour (Capitol),The Beatles,1967
432,Killing Me Softly With His Song,Killing Me Softly (Atlantic),Roberta Flack,1973
433,Got My Mojo Working,The Anthology (Chess/MCA),Muddy Waters,1957
434,Nowhere to Run,The Ultimate Collection (Motown),Martha and the Vandellas,1965
435,Little Wing,Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,1968
436,Sweet Dreams (Are Made of This),Sweet Dreams (RCA),Eurythmics,1983
437,Bad Moon Rising,Green River (Fantasy),Creedence Clearwater Revival,1969
438,Watching the Detectives,My Aim Is True (Rhino),Elvis Costello,1977
439,Tears in Heaven,"""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,1992
440,All Shook Up,Elvis 30 #1 Hits (RCA),Elvis Presley,1957
441,The Great Pretender,The Magic Touch: An Anthology (Mercury),The Platters,1955
442,The Loco-Motion,The Loco-Motion (Rhino),Little Eva,1962
443,Spanish Harlem,The Very Best of Ben E. King (Rhino),Ben E. King,1960
444,That Lady (Part 1 and 2),The Essential Isley Brothers (Legacy),The Isley Brothers,1973
445,Candle in the Wind,Goodbye Yellow Brick Road (Island),Elton John,1973
446,California Love,Greatest Hits (Death Row),Dr. Dre and 2Pac,1996
447,La Bamba,The Ritchie Valens Story (Rhino),Ritchie Valens,1958
448,Piece of My Heart,Cheap Thrills (Columbia),Big Brother and the Holding Company,1968
449,Jim Dandy,Soul on Fire: The Best of LaVern Baker (Atlantic),Lavern Baker,1956
450,Runaround Sue,Runaround Sue (Capitol),Dion,1961
451,Baby I Need Your Loving,The Ultimate Collection (Motown),The Four Tops,1964
452,Just My Imagination,Anthology (Motown),The Temptations,1971
453,Roxanne,Outlandos d'Amour (Interscope),The Police,1979
454,Tiny Dancer,Madman Across the Water (Island),Elton John,1971
455,Know You Got Soul,Paid in Full (Island),Eric B. and Rakim,1974
456,Stills,Decade (Reprise),Crosby,1970
457,Ticket to Ride,Help! (Capitol/Apple),The Beatles,1965
458,Whipping Post,At Fillmore East (Mercury),The Allman Brothers Band,1969
459,Bitter Sweet Symphony,Urban Hymns (Virgin),The Verve,1997
460,Tell It Like It Is,Tell It Like It Is: Golden Classics (Collectables),Aaron Neville,1966
461,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road (Island),Elton John,1973
462,Radio Free Europe,Murmur (A&M),R.E.M.,1983
463,Pride (In the Name of Love),The Unforgettable Fire (Island),U2,1984
464,Hit the Road Jack,Ultimate Hits Collection (Rhino),Ray Charles,1961
465,Maps,Fever to Tell (Interscope),Yeah Yeah Yeahs,2004
466,Fake Plastic Trees,The Bends (Capitol),Radiohead,1995
467,Another Brick in the Wall Part 2,The Wall (Capitol),Pink Floyd,1979
468,Brown Eyed Handsome Man,The Anthology (Chess),Chuck Berry,1956
469,Wonderful World,Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,1960
470,Marquee Moon,Marquee Moon (Elektra),Television,1977
471,I Cant Explain,The Ultimate Collection (MCA),The Who,1965
472,The Wind Cries Mary,Are You Experienced? (MCA),The Jimi Hendrix Experience,1967
473,Im a Man,His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,1955
474,Personal Jesus,Violator (Sire),Depeche Mode,1989
475,White Room,Wheels of Fire (Polygram),Cream,1968
476,How Deep Is Your Love,Saturday Night Fever (Polygram),Bee Gees,1977
477,Unchained Melody,Anthology 1962-1974 (Rhino),The Righteous Brothers,1965
478,Highway 61 Revisited,Highway 61 Revisited (Columbia),Bob Dylan,1965
479,The Letter,The Letter (Sundazed),The Box Tops,1967
480,Complete Control,The Clash (Epic),The Clash,1979
481,All You Need is Love,Magical Mystery Tour (Capitol),The Beatles,1967
482,Killing Me Softly With His Song,Killing Me Softly (Atlantic),Roberta Flack,1973
483,Got My Mojo Working,The Anthology (Chess/MCA),Muddy Waters,1957
484,Nowhere to Run,The Ultimate Collection (Motown),Martha and the Vandellas,1965
485,Little Wing,Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,1968
486,Sweet Dreams (Are Made of This),Sweet Dreams (RCA),Eurythmics,1983
487,Bad Moon Rising,Green River (Fantasy),Creedence Clearwater Revival,1969
488,Watching the Detectives,My Aim Is True (Rhino),Elvis Costello,1977
489,Tears in Heaven,"""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,1992
490,All Shook Up,Elvis 30 #1 Hits (RCA),Elvis Presley,1957
491,The Great Pretender,The Magic Touch: An Anthology (Mercury),The Platters,1955
492,The Loco-Motion,The Loco-Motion (Rhino),Little Eva,1962
493,Spanish Harlem,The Very Best of Ben E. King (Rhino),Ben E. King,1960
494,That Lady (Part 1 and 2),The Essential Isley Brothers (Legacy),The Isley Brothers,1973
495,Candle in the Wind,Goodbye Yellow Brick Road (Island),Elton John,1973
496,California Love,Greatest Hits (Death Row),Dr. Dre and 2Pac,1996
497,La Bamba,The Ritchie Valens Story (Rhino),Ritchie Valens,1958
498,Piece of My Heart,Cheap Thrills (Columbia),Big Brother and the Holding Company,1968
499,Jim Dandy,Soul on Fire: The Best of LaVern Baker (Atlantic),Lavern Baker,1956
500,Runaround Sue,Runaround Sue (Capitol),Dion,1961
